category,method,runtime_s,auroc_img
bottle,clip_only,4.508202075958252,0.9904761904761904
cable,clip_only,9.663533687591553,0.5892053973013494
capsule,clip_only,8.813713073730469,0.6785001994415636
carpet,clip_only,8.115579843521118,0.9731139646869983
grid,clip_only,3.5901119709014893,0.7209690893901419
hazelnut,clip_only,7.198394775390625,0.8617857142857143
leather,clip_only,7.991473436355591,0.9949048913043478
metal_nut,clip_only,4.195052862167358,0.7702834799608993
pill,clip_only,6.987757444381714,0.7291325695581015
screw,clip_only,5.7813193798065186,0.5372002459520393
tile,clip_only,6.120864629745483,0.9898989898989898
toothbrush,clip_only,4.164411544799805,0.8666666666666666
transistor,clip_only,7.493779897689819,0.7925
wood,clip_only,6.67671537399292,0.9982456140350878
zipper,clip_only,5.40549373626709,0.8946953781512604
