Category,Method,Slope,Complexity
bottle,CLIP,0.985,O(N)
bottle,DINO,1.031,O(N)
bottle,Hybrid,0.962,O(N)
cable,CLIP,1.018,O(N)
cable,DINO,1.017,O(N)
cable,Hybrid,1.057,O(N)
capsule,CLIP,1.008,O(N)
capsule,DINO,1.050,O(N)
capsule,Hybrid,0.953,O(N)
carpet,CLIP,1.035,O(N)
carpet,DINO,1.031,O(N)
carpet,Hybrid,0.922,O(N)
grid,CLIP,1.020,O(N)
grid,DINO,0.945,O(N)
grid,Hybrid,1.676,O(N^1.5)
hazelnut,CLIP,1.018,O(N)
hazelnut,DINO,1.019,O(N)
hazelnut,Hybrid,0.593,O(N)
leather,CLIP,1.036,O(N)
leather,DINO,1.020,O(N)
leather,Hybrid,0.986,O(N)
metal_nut,CLIP,0.998,O(N)
metal_nut,DINO,1.062,O(N)
metal_nut,Hybrid,1.259,O(N^1.5)
pill,CLIP,0.988,O(N)
pill,DINO,1.009,O(N)
pill,Hybrid,0.979,O(N)
screw,CLIP,1.032,O(N)
screw,DINO,1.026,O(N)
screw,Hybrid,1.226,O(N^1.5)
tile,CLIP,1.021,O(N)
tile,DINO,1.027,O(N)
tile,Hybrid,0.801,O(N)
toothbrush,CLIP,1.013,O(N)
toothbrush,DINO,1.079,O(N)
toothbrush,Hybrid,1.867,O(N^2)
transistor,CLIP,1.034,O(N)
transistor,DINO,1.016,O(N)
transistor,Hybrid,0.748,O(N)
wood,CLIP,1.042,O(N)
wood,DINO,1.027,O(N)
wood,Hybrid,0.738,O(N)
zipper,CLIP,0.915,O(N)
zipper,DINO,1.042,O(N)
zipper,Hybrid,1.557,O(N^1.5)
